"en","cz"
"CREATING TRANSPARENCY CHECKLIST 1.0 (short, 12 items)","VYKAZ TRANSPARENTNOSTI 1.0 (kratky, 12 polozek)"
"I prefer to fill out the full (36-item) checklist.","Preferuji vyplnit kompletni (36 polozek) vykaz."
"Select Language","Vyberte Jazyk"
"Please select an answer for each item below. If you want to elaborate on your answers, you can do so in the comment box that follows each section.","Prosime vyberte odpoved pro kazdou polozku. Pokud chcete blize vysvetlit sve odpovedi, muzete tak ucinit v poli pro komentare na konci kazde sekce."
"Go to previous section","Prejit do predchozi sekce"
"Go to next section","Prejit do nasledujici sekce"
"Generate & Download Report","Vygenerovat a stahnout zpravu"
"Format","Format"
"Preview","Nahled"
"Show code","Zobrazit kod"
"Download","Stahnout"
"Click here to create and download report","Kliknete zde pro vytvoreni a stazeni zpravy"
"Generate Report","Vytvorit zpravu"
"Code","Kod"
"A report can be downloaded after all questions in each section have been answered.","Zprava muze byt stazena pote, co jsou zodpovezeny vsechny polozky ve vsech sekcich."
"About","O aplikaci"
"What is the Transparency Checklist?","Co je vykaz transparentnosti?"
"Title of the Study","Název studie"
"All Authors [Given name(s) Surname;]","Všichni autoři [Křestní jméno Příjmení;]"
"Corresponding author's email address","Korespondence na e-mail"
"Link to Project Repository","Odkaz na repositář projektu"
"PREREGISTRATION SECTION","PREDREGISTRACE"
"(1) Prior to analyzing the complete data set, a time-stamped preregistration was posted in an independent, third-party registry for the data analysis plan.","(1) Pred analyzou kompletnich dat byla predregistrace s casovou znamkou ulozena na nezavislem registru pro datovou analyzu."
"(2) The study was preregistered...","(2) Studie byla predregistovana..."
"Explain","Vysvetlete"
"The preregistration fully describes...","Predregistrace popisuje vycerpavajicim zpusobem..."
"(3) the intended statistical analysis for each research question (this may require, for example, information about the sidedness of the tests, inference criteria, corrections for multiple testing, model selection criteria, prior distributions etc.).","(3) zamyslenou statistickou analyzu pro kazdou vyzkumnou otazku (toto napriklad vyzaduje informace o smeru testu, critetia inference, korekce pro vice testovani, kriteria pro vyber modelu, a-priorni distribuce, apod.)"
"Comments about your Preregistration","Komentar k Vasi predregistraci"
"Write your comments here...","Piste komentar zde..."
"The manuscript fully describes...","Manuskript popisuje vycerpacajicim zpusobem..."
"Yes","Ano"
"No","Ne"
"NA","NA"
"Please select an option","Prosime, vyberte odpoved"
"before any data were collected.","pred sberem dat."
"after some data were collected, but before exploring the data.","po castecnem sberu dat, ale pred exploraci v datech."
"after all data were collected, but before exploring the data.","po kompletnim sberu dat, ale pred exploraci v datech."
"after exploring the data, but before any statistical analyses were conducted.","po exploraci v datech, ale pred jakoukoli statistickou analyzou."
"after some but not all statistical analyses were conducted.","po nejake statisticke analyze, and ne po vsech."
"at another time, explain:","jindy, vysvetlete:"
"Not answered","Nezodpovezeno"
"References","Reference"
